Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
34.0,female,licence,2.0,5.0,18.30984433,35,68,87,2,no
27.0,male,bac,15.0,4.0,33.68933756,100,66,27,1,yes
33.0,female,phd,4.0,3.0,18.50993405,25,60,77,1,yes
42.0,female,bac,10.0,4.0,31.86097915,52,59,2,3,no
47.0,male,master,7.0,4.0,45.24039735,16,70,99,2,yes
44.0,male,master,5.0,5.0,12.56788211,85,23,90,2,no
49.0,female,licence,3.0,2.0,21.21208211,24,62,83,3,no
27.0,female,licence,1.0,4.0,50.66325982,1,85,78,1,yes
40.0,male,bac,13.0,5.0,44.42785141,85,60,61,2,yes
35.0,male,licence,8.0,2.0,29.23199289,4,22,26,2,no
32.0,female,master,12.0,3.0,26.83137959,3,29,44,1,yes
37.0,male,master,11.0,3.0,15.23001912,35,59,91,1,yes
34.0,female,licence,0.0,1.0,26.86047138,5,17,24,2,no
40.0,female,licence,0.0,5.0,43.40907491,20,95,60,2,no
43.0,female,bac,12.0,2.0,35.25872566,76,55,43,2,no
45.0,female,bac,3.0,4.0,15.50220141,100,52,96,1,yes
44.0,female,bac,6.0,3.0,11.07319605,88,6,45,3,no
47.0,male,licence,0.0,2.0,14.26042685,25,96,13,1,no
47.0,male,licence,8.0,5.0,9.48796007,54,68,7,2,no
47.0,male,licence,3.0,1.0,5.782034801,38,91,47,2,no
32.0,male,licence,2.0,3.0,21.95680872,83,71,13,1,yes
28.0,female,licence,0.0,2.0,6.66498022,32,78,64,1,yes
48.0,female,licence,9.0,2.0,9.595627886,13,51,79,2,no
34.0,female,master,3.0,2.0,28.36623422,55,3,81,3,no
32.0,female,licence,8.0,5.0,9.229963685,99,33,6,1,yes
20.0,male,phd,12.0,5.0,4.193988372,80,68,78,2,yes
44.0,female,master,13.0,5.0,16.8694425,20,32,87,2,no
26.0,female,bac,9.0,4.0,12.01595493,45,68,48,1,yes
28.0,male,master,15.0,2.0,26.7652594,15,37,54,2,no
43.0,male,licence,15.0,3.0,6.118354229,15,97,12,3,no
20.0,male,licence,5.0,5.0,38.58853938,83,25,72,2,no
31.0,male,licence,15.0,5.0,46.31167597,28,0,55,3,no
27.0,female,licence,5.0,2.0,38.1717587,91,3,55,1,no
43.0,female,licence,0.0,5.0,27.64135187,7,38,14,2,no
50.0,male,licence,9.0,4.0,44.03339109,87,53,56,2,no
30.0,female,licence,1.0,4.0,35.74591899,2,89,57,2,no
38.0,female,licence,10.0,5.0,1.527556123,88,32,34,2,no
36.0,female,licence,5.0,2.0,20.70450764,18,32,87,1,no
27.0,male,master,1.0,2.0,43.54759497,96,71,96,2,yes
22.0,female,bac,2.0,2.0,18.2929429,65,19,15,2,no
22.0,male,licence,3.0,1.0,2.760758676,78,15,7,1,no
20.0,female,master,10.0,5.0,38.30898193,85,20,92,3,yes
46.0,female,licence,4.0,2.0,41.10191351,73,44,86,2,no
24.0,female,bac,14.0,4.0,9.029684752,81,89,44,2,no
29.0,male,bac,8.0,3.0,27.86702484,21,86,94,1,yes
26.0,female,licence,11.0,3.0,10.59777195,45,81,39,1,yes
45.0,male,phd,14.0,2.0,36.96172095,90,61,53,2,yes
28.0,male,licence,14.0,3.0,14.57752276,12,30,13,2,no
47.0,male,phd,3.0,3.0,16.81075613,32,41,58,2,no
26.0,female,licence,12.0,1.0,43.24854268,4,11,93,2,no
28.0,female,licence,10.0,4.0,24.81611761,89,64,52,1,yes
27.0,female,licence,8.0,4.0,34.48772256,76,72,26,2,no
31.0,female,licence,10.0,1.0,21.11865254,26,2,46,2,no
21.0,male,bac,9.0,1.0,15.90034286,77,89,79,2,yes
20.0,male,master,2.0,3.0,32.27390302,23,8,5,1,no
35.0,male,master,7.0,5.0,8.742878704,66,50,54,1,yes
42.0,female,licence,11.0,3.0,19.64999178,62,15,96,2,no
42.0,male,phd,0.0,1.0,11.45185187,93,87,43,1,yes
49.0,female,master,10.0,4.0,35.78974835,98,77,17,1,yes
43.0,male,licence,8.0,3.0,48.21044192,47,2,15,1,no
24.0,female,bac,8.0,5.0,50.7755484,62,97,11,2,no
22.0,female,licence,9.0,3.0,23.51384052,77,96,19,2,no
31.0,male,licence,1.0,2.0,13.62651948,11,23,44,2,no
27.0,male,licence,3.0,3.0,23.14146852,27,72,63,1,yes
41.0,male,bac,12.0,1.0,43.3634705,43,12,58,2,no
46.0,male,master,7.0,4.0,11.30028393,92,1,92,1,yes
22.0,female,bac,6.0,4.0,48.60478258,42,70,93,3,no
20.0,male,licence,0.0,1.0,18.09328844,16,20,89,2,no
22.0,male,phd,4.0,2.0,50.29018297,39,18,21,2,no
24.0,male,master,6.0,1.0,42.93044438,48,88,96,1,yes
34.0,female,licence,14.0,3.0,41.42852671,84,46,46,1,yes
33.0,female,master,15.0,1.0,16.89523369,56,21,28,2,no
22.0,male,bac,3.0,1.0,1.438860597,86,74,85,2,no
20.0,female,bac,14.0,2.0,20.10664544,83,32,44,1,yes
24.0,male,licence,15.0,3.0,16.09046848,63,31,76,3,no
45.0,female,licence,14.0,5.0,2.86984952,74,63,8,3,no
42.0,female,licence,0.0,5.0,26.26826283,56,84,23,2,no
50.0,female,licence,8.0,4.0,21.15156556,97,38,14,3,no
33.0,female,bac,13.0,1.0,32.72782339,73,83,35,1,yes
26.0,male,licence,4.0,4.0,32.05931611,73,71,12,1,yes
46.0,male,licence,10.0,2.0,7.037331795,69,41,90,1,yes
28.0,male,master,15.0,5.0,49.84827731,99,100,43,2,yes
34.0,female,licence,1.0,1.0,10.34657147,87,8,100,1,yes
34.0,male,licence,7.0,2.0,23.26370124,75,24,70,3,no
45.0,male,licence,10.0,2.0,25.40587717,42,88,71,1,yes
29.0,male,bac,12.0,1.0,41.65313986,22,96,100,2,no
47.0,female,bac,1.0,2.0,5.961479805,26,1,77,3,no
32.0,female,master,2.0,1.0,22.43221396,57,18,75,1,yes
38.0,female,licence,13.0,1.0,32.42510851,36,19,35,1,no
50.0,male,bac,9.0,3.0,11.75778108,5,92,60,2,no
26.0,male,licence,0.0,4.0,32.37339494,64,69,80,1,yes
36.0,male,licence,10.0,2.0,47.18324188,5,16,39,1,no
39.0,female,licence,15.0,2.0,50.87590656,49,88,92,1,yes
48.0,female,licence,1.0,3.0,2.62255384,21,67,26,2,no
23.0,male,licence,13.0,3.0,12.77941141,87,93,0,3,no
49.0,female,licence,15.0,3.0,16.51535579,24,83,33,3,no
24.0,female,bac,6.0,5.0,20.95630502,78,2,67,1,yes
42.0,female,licence,9.0,5.0,13.11285788,89,86,87,2,yes
26.0,female,master,1.0,5.0,11.17439973,71,50,20,2,no
32.0,male,master,5.0,1.0,48.72769212,50,81,32,3,no
34.0,female,master,14.0,2.0,46.92608014,87,25,6,1,yes
30.0,female,licence,2.0,4.0,3.34962505,47,55,64,2,no
48.0,female,licence,3.0,1.0,17.94065108,69,99,2,2,no
23.0,female,licence,10.0,2.0,21.25742768,98,63,50,3,no
32.0,male,licence,14.0,2.0,12.95072673,64,7,78,1,yes
26.0,male,licence,12.0,3.0,32.44364485,59,80,94,1,yes
46.0,female,bac,7.0,3.0,33.01903733,45,94,53,1,yes
38.0,female,licence,13.0,1.0,43.52521142,35,36,79,1,yes
41.0,female,phd,2.0,3.0,38.04346342,57,96,73,2,no
47.0,female,licence,9.0,2.0,28.12866635,75,26,92,2,no
21.0,female,bac,5.0,3.0,33.6793385,37,44,58,2,no
29.0,female,licence,0.0,5.0,14.69943908,10,3,5,1,no
32.0,male,master,6.0,3.0,30.6528095,11,85,28,1,yes
49.0,female,licence,7.0,2.0,25.46136274,41,89,16,1,yes
44.0,male,licence,10.0,1.0,7.667223366,38,95,59,1,yes
40.0,male,bac,13.0,4.0,13.12721383,70,87,21,2,no
25.0,female,licence,7.0,3.0,15.58467254,10,98,23,1,yes
47.0,male,licence,2.0,2.0,47.21547835,35,36,80,1,no
47.0,male,master,13.0,4.0,12.51933197,51,95,84,2,yes
31.0,male,licence,9.0,4.0,15.46219514,30,70,50,2,no
31.0,male,bac,0.0,5.0,19.4677065,32,32,49,2,no
39.0,male,bac,8.0,4.0,34.18713693,12,30,10,3,no
49.0,male,bac,12.0,2.0,6.911919624,17,54,55,1,yes
49.0,female,licence,5.0,2.0,48.69726062,40,11,70,2,no
30.0,male,licence,10.0,3.0,44.278561,57,10,41,2,no
45.0,male,licence,8.0,3.0,29.86080365,55,87,38,2,no
42.0,male,licence,6.0,3.0,34.70189337,23,71,68,3,no
47.0,female,licence,0.0,4.0,1.833023562,72,31,47,1,no
44.0,male,bac,11.0,4.0,17.94723877,30,56,56,2,no
26.0,female,bac,11.0,5.0,40.78301153,54,37,20,1,no
49.0,male,master,0.0,3.0,4.87414869,9,59,81,2,no
20.0,female,licence,5.0,1.0,15.11569171,59,85,98,2,no
20.0,female,licence,4.0,5.0,30.26484142,1,97,19,3,no
44.0,male,master,8.0,1.0,13.82065138,14,18,14,3,no
46.0,male,licence,1.0,4.0,47.69889871,2,83,68,2,no
49.0,female,master,7.0,5.0,7.55293154,42,55,76,1,yes
44.0,male,licence,10.0,5.0,40.8697179,30,13,50,2,no
39.0,female,phd,4.0,2.0,26.3974346,69,32,75,2,no
32.0,female,bac,1.0,4.0,38.51653879,66,9,61,1,no
28.0,female,bac,12.0,4.0,16.53576642,55,79,84,2,no
22.0,female,licence,9.0,5.0,26.72448012,62,63,36,3,no
26.0,female,phd,10.0,4.0,43.84176749,74,63,5,2,yes
25.0,male,master,10.0,5.0,24.34390496,14,61,70,2,yes
27.0,female,bac,11.0,2.0,18.9859931,91,67,25,3,no
46.0,female,licence,5.0,5.0,27.80776931,9,90,7,1,no
28.0,male,phd,9.0,4.0,36.86813765,37,91,72,1,yes
49.0,female,licence,7.0,4.0,23.17816727,46,42,90,2,no
24.0,male,master,3.0,5.0,47.94384876,56,79,3,2,no
20.0,male,master,1.0,5.0,15.7472912,49,58,20,2,no
38.0,male,licence,11.0,5.0,24.77318031,70,51,30,1,yes
29.0,female,licence,10.0,3.0,38.84638297,14,96,20,1,yes
31.0,female,licence,4.0,4.0,35.45605452,17,18,24,1,no
43.0,female,licence,14.0,4.0,44.18205262,81,20,14,3,no
34.0,male,master,11.0,3.0,50.84045903,87,21,34,2,no
46.0,female,licence,1.0,5.0,22.34291644,1,8,48,2,no
41.0,male,master,1.0,2.0,6.557543989,83,8,42,1,yes
43.0,female,bac,14.0,5.0,2.52079404,97,72,40,1,yes
28.0,male,phd,5.0,5.0,37.34384531,42,26,36,2,no
39.0,female,licence,15.0,3.0,44.70068357,25,16,56,1,no
36.0,female,bac,10.0,4.0,12.0356293,70,43,41,2,no
49.0,female,bac,9.0,5.0,8.922401859,37,44,46,2,no
36.0,male,master,8.0,4.0,4.110254576,93,7,91,2,yes
45.0,male,licence,12.0,1.0,42.13514609,41,79,60,2,no
39.0,female,master,3.0,4.0,16.56909699,4,17,13,2,no
31.0,female,bac,5.0,2.0,21.08484464,10,32,67,1,no
49.0,male,bac,15.0,2.0,26.13750958,64,0,52,2,no
26.0,male,licence,8.0,5.0,42.97266171,33,75,83,2,no
21.0,male,licence,12.0,4.0,33.54166108,0,5,33,1,no
22.0,female,licence,10.0,5.0,31.75323149,82,40,75,3,no
36.0,male,phd,5.0,3.0,9.783604998,1,54,96,1,yes
24.0,female,phd,7.0,2.0,26.65949459,84,4,23,1,yes
36.0,male,phd,3.0,5.0,36.76905086,19,58,19,1,yes
43.0,female,master,11.0,3.0,49.66304415,60,79,68,3,yes
36.0,male,licence,14.0,5.0,11.07031546,86,17,29,2,no
46.0,male,licence,0.0,4.0,1.477167653,20,48,87,2,no
36.0,male,licence,6.0,4.0,4.76507168,87,81,6,1,yes
21.0,male,master,2.0,4.0,19.79262326,67,64,35,2,no
21.0,male,bac,13.0,4.0,42.02723239,11,82,37,2,no
47.0,female,licence,5.0,1.0,1.357104088,21,53,79,3,no
41.0,male,bac,1.0,3.0,23.83652964,19,60,51,1,no
42.0,male,licence,8.0,3.0,17.46153077,81,7,14,1,yes
24.0,male,master,0.0,4.0,3.624085505,0,2,45,1,no
20.0,female,master,5.0,1.0,23.51181433,29,24,22,3,no
20.0,male,licence,5.0,4.0,13.73743537,96,68,11,2,no
38.0,female,phd,4.0,1.0,18.59424172,23,54,92,2,no
49.0,male,licence,15.0,4.0,36.28076524,13,39,43,2,no
21.0,male,bac,12.0,2.0,27.0775492,35,82,14,3,no
40.0,female,licence,4.0,2.0,7.23237145,68,81,92,3,no
31.0,male,licence,0.0,5.0,49.07072702,74,49,48,2,no
45.0,female,bac,9.0,4.0,32.79553829,23,94,20,1,yes
25.0,female,phd,11.0,3.0,39.29342128,59,32,14,1,yes
42.0,male,licence,4.0,5.0,4.9606575,94,17,13,3,no
23.0,female,master,1.0,2.0,3.352918973,54,56,41,2,no
42.0,male,licence,6.0,4.0,1.972402518,76,15,79,1,yes
30.0,male,bac,2.0,5.0,10.43970139,79,79,14,2,no
43.0,female,licence,12.0,4.0,21.72041989,23,37,62,3,no
46.0,female,bac,14.0,2.0,47.79130667,76,40,67,2,no
36.0,female,licence,3.0,5.0,23.85298296,23,6,26,2,no
50.0,female,phd,2.0,2.0,15.51275527,53,77,86,3,no
25.0,male,licence,2.0,1.0,29.09676268,25,52,92,2,no
43.0,male,licence,3.0,2.0,6.596728907,65,62,52,1,no
24.0,female,bac,4.0,4.0,31.47529455,79,88,51,3,no
39.0,male,bac,0.0,3.0,29.42159772,37,31,62,3,no
21.0,male,bac,3.0,2.0,40.59965167,64,37,72,3,no
25.0,male,licence,11.0,3.0,50.33438058,74,21,52,2,no
41.0,male,bac,11.0,1.0,13.54367359,50,15,56,1,no
30.0,female,licence,10.0,5.0,26.48282254,34,51,51,3,no
50.0,female,licence,7.0,5.0,46.44327032,42,28,42,1,no
35.0,male,licence,9.0,3.0,40.25949422,28,15,6,3,no
35.0,female,bac,6.0,5.0,25.37031516,36,75,41,3,no
20.0,female,licence,8.0,2.0,48.26858248,80,16,3,2,no
28.0,female,phd,4.0,3.0,3.861834676,57,100,68,3,no
47.0,male,licence,12.0,4.0,47.54993099,53,63,4,2,no
46.0,male,licence,14.0,2.0,3.525369619,38,90,74,1,yes
25.0,male,bac,9.0,2.0,28.36523721,41,88,91,2,no
35.0,female,phd,3.0,2.0,45.5220474,27,12,79,1,yes
48.0,male,licence,7.0,4.0,14.13604718,28,71,40,2,no
22.0,male,licence,8.0,1.0,24.61242495,42,55,93,1,yes
39.0,female,master,12.0,5.0,17.21644396,2,4,3,2,no
47.0,male,licence,6.0,3.0,48.60719585,9,11,1,3,no
46.0,male,licence,13.0,1.0,42.18227974,58,40,66,3,no
23.0,female,licence,15.0,3.0,36.45007557,13,2,20,2,no
38.0,female,licence,6.0,5.0,30.38134933,75,98,69,2,yes
45.0,female,phd,15.0,4.0,42.02958947,46,32,42,2,no
22.0,male,master,4.0,2.0,20.61335208,41,85,81,3,no
50.0,male,licence,3.0,2.0,23.37759276,93,49,68,2,no
38.0,male,bac,13.0,4.0,37.50008605,31,55,8,2,no
39.0,female,bac,9.0,1.0,18.88773816,31,8,83,3,no
26.0,female,licence,0.0,1.0,4.195047102,41,81,27,2,no
39.0,male,master,9.0,3.0,4.716730444,31,49,25,3,no
28.0,male,licence,9.0,4.0,6.768140065,25,28,81,3,no
20.0,female,licence,6.0,1.0,44.48406617,0,38,82,3,no
27.0,female,master,15.0,4.0,24.61132129,55,90,2,1,yes
26.0,female,bac,0.0,5.0,36.64411847,1,99,72,2,no
37.0,female,licence,0.0,2.0,20.64546678,80,44,99,3,no
27.0,male,bac,4.0,2.0,13.93554737,29,16,94,2,no
20.0,female,phd,12.0,2.0,18.35960838,70,55,48,2,no
30.0,male,licence,8.0,4.0,40.70911727,51,97,16,1,yes
47.0,male,bac,5.0,4.0,32.26080625,90,45,62,1,yes
44.0,male,licence,2.0,3.0,47.881989,8,66,54,2,no
44.0,female,licence,12.0,2.0,34.98523893,21,68,22,2,no
37.0,female,master,2.0,3.0,29.50908159,33,13,33,2,no
42.0,female,master,6.0,2.0,31.50980045,48,66,68,2,yes
50.0,female,licence,5.0,3.0,48.11857197,0,22,14,2,no
49.0,male,bac,8.0,3.0,40.41004649,72,93,46,2,no
29.0,female,bac,5.0,5.0,2.202061868,83,60,2,2,no
35.0,female,bac,4.0,3.0,27.70698481,52,22,82,2,no
26.0,male,licence,9.0,4.0,35.41692058,82,26,27,2,no
47.0,female,master,6.0,3.0,38.43492392,99,53,2,1,yes
35.0,male,licence,0.0,2.0,11.65710597,39,9,3,2,no
45.0,male,bac,11.0,3.0,44.35886772,44,88,87,2,no
35.0,male,licence,6.0,1.0,48.79215736,67,76,30,2,no
44.0,male,master,15.0,2.0,12.83576529,8,15,44,2,no
39.0,male,master,2.0,1.0,45.13077288,21,40,58,2,no
47.0,male,master,13.0,2.0,5.848938126,17,97,44,1,yes
36.0,male,licence,8.0,4.0,3.785341806,75,54,74,3,yes
21.0,male,bac,14.0,4.0,7.461190005,42,100,36,1,yes
20.0,female,master,5.0,4.0,3.887053973,38,60,64,3,no
35.0,female,licence,8.0,1.0,43.25061186,72,85,8,2,no
49.0,female,licence,12.0,5.0,3.952507223,5,80,16,2,no
31.0,female,master,14.0,2.0,14.58320957,82,86,64,1,yes
24.0,male,master,4.0,4.0,6.187817177,47,99,2,1,yes
24.0,female,licence,6.0,2.0,15.77110182,6,48,25,1,no
46.0,male,licence,12.0,1.0,5.52797338,79,72,52,1,yes
42.0,female,licence,15.0,5.0,34.40016254,68,51,30,2,no
28.0,female,licence,13.0,1.0,7.666340817,15,1,25,2,no
28.0,female,licence,3.0,2.0,43.59229629,0,95,22,2,no
22.0,male,master,14.0,5.0,41.85955254,36,49,29,1,yes
38.0,female,master,15.0,5.0,1.683084274,82,85,9,3,yes
35.0,male,master,6.0,1.0,45.78631778,36,42,71,2,no
35.0,male,bac,12.0,4.0,2.447215837,80,76,88,1,yes
22.0,female,master,0.0,2.0,12.98228925,63,7,63,2,no
39.0,female,master,6.0,3.0,2.619456889,89,58,21,1,yes
43.0,female,licence,7.0,3.0,17.79217435,85,64,14,1,yes
41.0,male,master,4.0,1.0,26.69332629,61,80,55,2,no
43.0,female,master,1.0,2.0,40.83224345,71,11,73,2,no
20.0,male,licence,4.0,2.0,17.89907752,60,3,19,3,no
43.0,male,licence,5.0,1.0,36.27450123,32,76,46,2,no
39.0,female,bac,11.0,2.0,10.37522286,65,94,86,3,no
30.0,female,licence,1.0,4.0,38.52992284,29,40,52,3,no
36.0,male,licence,13.0,1.0,12.7998303,19,6,52,3,no
27.0,male,master,5.0,4.0,8.177237797,59,86,0,2,no
23.0,male,licence,5.0,2.0,10.27044252,81,87,1,1,yes
25.0,female,bac,0.0,1.0,10.10315644,73,68,57,1,yes
27.0,male,licence,13.0,2.0,26.64314397,23,68,18,2,no
39.0,female,bac,0.0,1.0,43.23987906,3,80,61,2,no
49.0,male,bac,13.0,2.0,4.98025385,36,29,77,1,yes
22.0,male,bac,10.0,4.0,36.34781592,3,72,71,2,no
35.0,female,bac,15.0,4.0,33.71732298,76,5,11,1,yes
49.0,male,bac,9.0,2.0,44.62599759,88,88,25,2,no
44.0,female,licence,2.0,1.0,13.20737803,76,18,26,1,no
22.0,female,licence,13.0,3.0,23.50549293,17,79,28,2,no
44.0,male,master,9.0,4.0,47.29136872,87,84,14,2,yes
48.0,female,licence,9.0,4.0,33.99967251,65,65,45,1,yes
37.0,female,master,14.0,3.0,20.43842064,47,9,0,2,no
33.0,male,bac,11.0,2.0,7.570619143,32,15,59,2,no
37.0,female,licence,2.0,1.0,14.1242504,57,36,91,1,no
21.0,female,master,3.0,2.0,30.06077387,82,78,56,1,yes
41.0,female,bac,1.0,5.0,36.90839738,72,76,2,2,no
22.0,male,licence,8.0,4.0,7.221094343,27,76,17,2,no
35.0,female,licence,9.0,5.0,30.979863,34,31,51,2,no
48.0,male,licence,11.0,4.0,28.51756394,9,46,59,1,no
28.0,male,bac,10.0,4.0,26.69777233,64,71,33,2,no
23.0,female,licence,13.0,5.0,35.50615588,41,42,95,1,yes
20.0,female,licence,6.0,5.0,42.87247975,84,81,92,3,yes
23.0,female,bac,6.0,2.0,17.14948416,8,35,88,2,no
20.0,male,licence,14.0,5.0,45.45060951,59,25,59,3,no
33.0,female,master,5.0,2.0,9.031680631,14,9,25,2,no
40.0,female,phd,14.0,2.0,9.651193488,98,30,71,2,yes
35.0,female,licence,2.0,2.0,14.33860318,56,96,18,2,no
